MC1	MC2	MC3	Code	PRIO	DEFINITIE
Bezitsaantasting	Overval		bzov	1	Het dwingen tot afgifte van enig goed door middel van geweld of het dreigen met geweld met voorbedachte rade.
Bezitsaantasting	Overval	Bedrijf/Instelling	bzovbi	1	Een geplande overval op een bedrijf of instelling
Bezitsaantasting	Overval	Luchtvaartuig	bzovlu	1	Een geplande overval op of in luchtvaartuig niet zijnde een kaping.
Bezitsaantasting	Overval	Voertuig/Vaartuig	bzovvv	1	Een geplande overval op een voer- of vaartuig.
Bezitsaantasting	Overval	Waardetransport	bzovwd	1	Het met geweld of bedreiging met geweld wegnemen of afpersen van enig goed, gepleegd tegen personen in een afgeschermde ruimte of op een gepland dan wel georganiseerd waardetransport of poging daartoe.
Bezitsaantasting	Overval	Woning	bzovwn	1	Een geplande overval op een particulier persoon vaak binnenshuis
Bezitsaantasting	Stroperij		bzsp	2	Zonder geweld of dreiging daartoe, het geheel of ten dele, aan een ander toebehorende klei, bagger, veldvruchten, dieren etc. wegnemen met het oogmerk van toe-eigening.
Bezitsaantasting	Stroperij	Dier	bzspdi	2	Zonder geweld of dreiging daartoe, het geheel of ten dele, aan een ander toebehorende dier(en) wegnemen met het oogmerk van toe-eigening.
Bezitsaantasting	Stroperij	Goederen	bzspgd	2	Zonder geweld of dreiging daartoe, het geheel of ten dele, aan een ander toebehorende klei, bagger, veldvruchten etc. wegnemen met het oogmerk van toe-eigening.
Bezitsaantasting	Vernieling		bzvn	3	Het opzettelijk en wederrechtelijk vernielen, beschadigen, onbruikbaar of wegmaken van enig goed dat aan een ander toebehoort.
Bezitsaantasting	Vernieling	Gebouw	bzvngb	3	Zie vernieling.
Bezitsaantasting	Vernieling	Goederen	bzvngd	3	Zie vernieling.
Bezitsaantasting	Vernieling	Graffiti	bzvngf	3	Zie vernieling. Immers, het herstellen van de schade brengt zodanige kosten met zich mee dat van beschadiging mag worden uitgegaan.
Bezitsaantasting	Vernieling	Luchtvaartuig	bzvnlu	3	Zie vernieling.
Bezitsaantasting	Vernieling	Spoorvervoer	bzvnsp	3	Zie vernieling.
Bezitsaantasting	Vernieling	Vaartuig	bzvnva	3	Zie vernieling.
Bezitsaantasting	Vernieling	Voertuig	bzvnvo	3	Zie vernieling.
Brand			br		Incident waarbij het primair om brand gaat/ging of waarbij een explosie heeft plaatsgevonden met brand als overheersend effect tot gevolg.
Brand	Bijgebouw		brbg	1	De BAG definieert als een bijgebouw: Een bijgebouw is een al dan niet vrijstaand pand dat dienstbaar is aan een hoofdgebouw en bevat geen verblijfsobjecten. Een pand zonder verblijfsobjecten heeft geen adres.
Brand	Buiten		brbt	2	Alle buiten brandmeldingen, maar geen industrie/natuur/vervoer/scenario of gebouwen.
